date,vendor,amount,category,hide,notes
7.11.2022,Cafe,"$2,50",Other,,
7.11.2022,Passion,"$9,00",Going out,,
7.11.2022,Narikka,"$3,50",Going out,,
7.11.2022,McDonalds,"$7,65",Going out,,
7.11.2022,Prisma Koivistonkylä,"$48,73",Utilities,,
7.11.2022,Isabel,"$19,00",Debt,,
7.11.2022,K-Supermarket Nekala,"$13,42",Groceries,,
8.11.2022,Isabel,"$12,50",Debt,,
8.11.2022,School,"$3,20",School food,,
9.11.2022,Jyväskylä,"$1,90",Public transportation,,
9.11.2022,VR,"$47,00",Public transportation,,
9.11.2022,VR,"$9,30",Public transportation,,
10.11.2022,Ricoh,"$1,00",Other,,
10.11.2022,Nekala,"$15,38",Groceries,,
11.11.2022,Sodexo,"$3,20",School food,,
11.11.2022,Rautatieasema,"$5,86",Going out,,
11.11.2022,Subway,"$10,00",Going out,,
14.11.2022,Nysse,"$2,00",Public transportation,,
14.11.2022,Isabel,"$8,90",Other,,
15.11.2022,Narikka,"$4,50",Going out,,
15.11.2022,Aleksi,"$7,00",Going out,,
15.11.2022,Kalle,"$5,00",Public transportation,,
15.11.2022,Rummut,"$700,00",Furniture,,
16.11.2022,Matkahuolto,"$9,80",Public transportation,,
16.11.2022,Nysse,"$2,00",Public transportation,,
16.11.2022,School,"$3,20",School food,,
17.11.2022,Tier,"$3,90",Electric scooters,,
17.11.2022,Prisma Kaleva,"$2,25",Going out,,
17.11.2022,Isabel,"$3,50",Debt,,
17.11.2022,Canadem,"$11,00",Other,,
18.11.2022,School,"$3,20",School food,,
18.11.2022,Tre,"$15,00",Other,,
18.11.2022,Nysse,"$2,00",Public transportation,,
18.11.2022,Hesburger,"$7,90",Going out,,
18.11.2022,Treanglo,"$5,50",Going out,,
21.11.2022,Tier,"$0,80",Electric scooters,,
21.11.2022,RantaPoro,"$18,90",Going out,,
21.11.2022,RantaPoro,"$3,90",Going out,,
21.11.2022,Selvi,"$13,50",Going out,,
21.11.2022,Prisma Lielahti,"$8,25",Going out,,
